feeding	pipe	q_l_s	Re	f	group
tank	cooper_01	1.322	836374.833	0.01759	G1
tank	cooper_01	1.247	788439.218	0.01350	G1
tank	cooper_01	0.863	545736.383	0.01972	G1
tank	cooper_01	0.625	395317.792	0.01790	G1
tank	cooper_01	0.471	298095.264	0.01889	G1
tank	cooper_01	0.354	223777.982	0.01676	G1
tank	cooper_01	0.282	178565.417	0.01755	G1
tank	cooper_01	0.188	118751.199	0.01984	G1
tank	cooper_01	1.181	747189.621	0.01854	G1
tank	cooper_01	0.936	591774.646	0.01917	G1
tank	cooper_02	1.267	801177.392	0.01997	G2
tank	cooper_02	1.140	721059.653	0.02115	G2
tank	cooper_02	1.013	640941.914	0.02159	G2
tank	cooper_02	0.760	480706.435	0.01466	G2
tank	cooper_02	0.633	400588.696	0.01427	G2
tank	cooper_02	0.507	320470.957	0.01878	G2
tank	cooper_02	0.443	280412.087	0.01742	G2
tank	cooper_02	0.380	240353.218	0.01810	G2
tank	cooper_02	0.317	200294.348	0.02606	G2
tank	cooper_02	0.190	120176.609	0.03869	G2
pump	cooper_03	1.267	801177.392	0.02005	G3
pump	cooper_03	1.140	721059.653	0.01991	G3
pump	cooper_03	1.013	640941.914	0.02043	G3
pump	cooper_03	0.760	480706.435	0.02058	G3
pump	cooper_03	0.633	400588.696	0.01917	G3
pump	cooper_03	0.507	320470.957	0.01907	G3
pump	cooper_03	0.443	280412.087	0.01067	G3
pump	cooper_03	0.380	240353.218	0.00968	G3
pump	cooper_03	0.317	200294.348	0.00697	G3
pump	cooper_03	0.190	120176.609	0.00968	G3
