feeding	pipe	q_l_s	Re	f	group
tank	cup18	0.10	6067.81	0.0252	g01
tank	cup18	0.18	11321.08	0.0207	g01
tank	cup18	0.41	26201.68	0.0197	g01
tank	cup18	0.68	43145.19	0.0222	g01
tank	cup18	0.76	47893.12	0.0206	g01
tank	cup18	0.89	56558.13	0.0202	g01
tank	cup18	1.02	64233.62	0.0192	g01
tank	cup18	1.10	69667.20	0.0194	g01
tank	cup18	1.19	74995.08	0.0189	g01
tank	cup18	1.24	78689.78	0.0195	g01
tank	cup18	1.33	84300.74	0.0187	g01
tank	cup18	1.31	82772.82	0.0209	g01
tank	cup18	1.10	69500.32	0.0218	g01
tank	cup18	0.78	49550.21	0.0225	g01
pump	cup18	1.29	81765.22	0.0212	g02
pump	cup18	1.23	78061.77	0.0214	g02
pump	cup18	1.17	73782.00	0.0216	g02
pump	cup18	1.11	70401.27	0.0216	g02
pump	cup18	1.05	66708.57	0.0213	g02
pump	cup18	0.98	61970.13	0.0214	g02
pump	cup18	0.90	56846.18	0.0218	g02
pump	cup18	0.79	49961.17	0.0216	g02
pump	cup18	0.65	40850.92	0.0218	g02
pump	cup18	0.46	28952.17	0.0227	g02
pump	cup18	0.27	16816.07	0.0257	g02
pump	cup18	0.21	13025.30	0.0297	g02
tank	pvc12	0.65	52401.51	0.0276	g03
tank	pvc12	0.60	48637.83	0.0286	g03
tank	pvc12	0.56	45463.91	0.0283	g03
tank	pvc12	0.51	41017.02	0.0297	g03
tank	pvc12	0.46	37302.01	0.0299	g03
tank	pvc12	0.42	34037.92	0.0302	g03
tank	pvc12	0.35	28130.60	0.0315	g03
tank	pvc12	0.29	23337.61	0.0342	g03
tank	pvc12	0.23	18531.63	0.0336	g03
tank	pvc12	0.18	14567.90	0.0344	g03
tank	pvc12	0.13	10129.23	0.0517	g03
tank	pvc18	1.66	89781.53	0.0208	g04
tank	pvc18	1.57	85201.27	0.0212	g04
tank	pvc18	1.49	80668.86	0.0216	g04
tank	pvc18	1.39	75055.59	0.0228	g04
tank	pvc18	1.28	69249.20	0.0229	g04
tank	pvc18	1.18	64004.25	0.0228	g04
tank	pvc18	1.11	60228.54	0.0223	g04
tank	pvc18	1.00	53851.05	0.0229	g04
tank	pvc18	0.89	48127.48	0.0241	g04
tank	pvc18	0.74	39890.40	0.0256	g04
tank	pvc18	0.45	24416.63	0.0347	g04
