feeding	pipe	q_l_s	Re	f	group
tanque	cup18	0.2053	129851.87	0.0481	g01
tanque	cup18	0.3319	209926.47	0.0197	g01
tanque	cup18	0.4669	295288.73	0.0205	g01
tanque	cup18	0.5963	377166.65	0.0196	g01
tanque	cup18	0.8598	543859.39	0.0179	g01
tanque	cup18	0.9939	628673.56	0.0205	g01
tanque	cup18	1.1002	695905.45	0.0193	g01
tanque	cup18	1.2412	785042.16	0.0197	g01
tanque	cup18	1.3337	843569.57	0.0186	g01
tanque	cup18	0.2131	134777.00	0.0198	g02
tanque	cup18	0.3285	207788.59	0.0213	g02
tanque	cup18	0.4604	291210.16	0.0215	g02
tanque	cup18	0.5708	361020.81	0.0214	g02
tanque	cup18	0.8453	534664.81	0.0197	g02
tanque	cup18	1.0010	633141.61	0.0197	g02
tanque	cup18	1.1123	703568.93	0.0199	g02
tanque	cup18	1.2226	773332.27	0.0200	g02
tanque	cup18	1.2987	821439.57	0.0193	g02
tanque	pvc12	0.6649	465147.72	0.0495	g03
tanque	pvc12	0.5790	405085.22	0.0510	g03
tanque	pvc12	0.5144	359867.37	0.0545	g03
tanque	pvc12	0.4598	321646.97	0.0528	g03
tanque	pvc12	0.3920	274238.40	0.0563	g03
tanque	pvc12	0.3232	226109.30	0.0580	g03
tanque	pvc12	0.2604	182182.86	0.0589	g03
tanque	pvc12	0.2030	142018.30	0.0640	g03
tanque	pvc18	0.0002	102416.83	0.0455	g03
tanque	pvc18	0.0003	170694.72	0.0372	g03
tanque	pvc18	0.0004	204833.67	0.0310	g03
tanque	pvc18	0.0005	273111.56	0.0273	g03
tanque	pvc18	0.0006	341389.45	0.0264	g03
tanque	pvc18	0.0008	409667.34	0.0259	g03
tanque	pvc18	0.0009	477945.23	0.0315	g03
tanque	pvc18	0.0011	614501.01	0.0252	g03
tanque	pvc18	0.0013	682778.90	0.0239	g03
tanque	pvc18	0.0015	819334.68	0.0232	g03
